manufacturer,reports,deaths
pfizer/biontech,501334,9517
moderna,479775,9218
pfizer/wyeth,121562,3007
merck & co. inc.,399134,2686
janssen,76171,2180
sanofi pasteur,207159,1856
unknown manufacturer,110000,1603
glaxosmithkline biologicals,209315,1471
connaught laboratories,30851,663
smithkline beecham,27173,475
lederle laboratories,11658,371
connaught ltd.,6287,277
novartis vaccines and diagnostics,46965,138
"seqirus, inc.",22047,117
pasteur merieux inst.,2761,77
"medimmune vaccines, inc.",12763,62
emergent biosolutions,9702,54
parke-davis,1412,48
csl limited,9140,38
"medeva pharma, ltd.",918,29
evans vaccines,2191,27
msp vaccine company,2138,27
michigan dept pub hlth,3288,26
mass. pub hlth biol lab,1974,24
aventis pasteur,2323,17
protein sciences corporation,3643,10
novavax,848,7
bavarian nordic,2234,5
"berna biotech, ltd.",3121,4
parkdale pharmaceuticals,534,4
north american vaccines,63,4
teva pharmaceuticals,275,4
dynavax technologies corporation,2463,3
miles laboratories,14,2
sclavo,247,1
"greer laboratories, inc.",11,1
intercell ag,536,1
paxvax,128,1
lederle praxsis,13,0
organon-teknika,68,0
pasteur merieux connaught,110,0
burroughs wellcome,3,0
baxter healthcare corp.,43,0
bsi,70,0
"berna biotech, ltd",10,0
vbi vaccines,15,0
"valneva usa, inc.",76,0
