lot,reports,caveat
039K20A,5915,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
013L20A,5272,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
026L20A,4966,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
011J20A,4474,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EK9231,4210,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EK5730,4148,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
ER2613,4037,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EH9899,3950,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
012L20A,3812,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EN6201,3789,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
029L20A,3656,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
004M20A,3530,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EN5318,3463,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EN6205,3427,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
025L20A,3425,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EN6207,3405,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
ER8732,3363,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EN6200,3250,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EN6202,3222,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
ER8733,3201,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EN6208,3184,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EL3247,3183,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
031L20A,3172,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
041L20A,3153,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EN6198,3126,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
027L20A,3106,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EW0150,3056,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
007M20A,3040,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
011L20A,3009,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
030L20A,2996,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
FK5127,2988,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EP6955,2987,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EJ1685,2884,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EL1284,2881,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
043A21A,2873,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
028L20A,2865,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
013M20A,2859,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EL1283,2858,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
ER8727,2854,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
037K20A,2831,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EN6206,2809,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EN6203,2749,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EN6199,2747,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EN6204,2734,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
ER8729,2725,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
042A21A,2698,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
012M20A,2655,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EL3249,2646,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EW0172,2566,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EP7534,2555,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EL9261,2554,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
ER8737,2525,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EL3246,2504,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
042L20A,2502,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EL3248,2466,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EW0151,2460,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
ER8730,2428,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
010M20A,2425,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EL9262,2415,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
ER8734,2414,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EL8982,2380,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EP7533,2359,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
FK5618,2266,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EW0162,2259,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EW0153,2235,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EW0179,2229,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EW0158,2227,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EW0173,2204,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
ER8735,2190,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
EW0164,2183,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
014M20A,2172,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
025J20-2A,2167,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
024M20A,2161,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
032L20A,2124,caveat:L1_factual_4W1H;passive_surveillance_reports_unverified;a_report_is_not_causation;reporting_rates_are_not_incidence_rates
