state,reports
CA,176195
TX,104387
NY,96198
FL,93392
PA,76782
MI,73299
OH,61129
IL,57302
NJ,51060
NC,49847
VA,48045
WA,47535
MA,46193
GA,46106
IN,45596
CO,41278
MN,38076
AZ,37423
MD,36669
WI,34104
MO,31500
TN,29501
OR,26342
KY,25785
CT,22640
SC,21170
OK,16892
AL,16889
IA,16676
KS,15911
LA,15271
UT,14143
NV,13119
NM,12921
AR,12786
ME,10963
ID,10857
NE,10523
NH,10482
MS,9031
WV,8870
PR,8340
MT,7707
HI,7522
RI,6634
AK,6453
DE,5632
DC,5344
VT,5244
SD,4974
ND,4858
WY,3149
VI,423
GU,414
AS,115
MP,85
FM,67
MH,31
ca,16
ny,15
pa,14
in,14
Tx,13
tx,13
XB,13
va,12
fl,11
mi,9
oh,9
Ca,6
il,6
wa,6
PW,6
Fl,5
ma,5
mn,5
mo,5
Mi,4
az,4
nc,4
ct,4
ks,4
nj,4
md,4
co,4
QM,4
Il,3
ky,3
wv,3
Co,3
In,2
al,2
ga,2
nh,2
or,2
me,2
wi,2
la,2
Ar,2
Or,2
Ne,2
XV,2
QW,2
La,1
de,1
Ma,1
Va,1
nm,1
ne,1
mt,1
tn,1
ia,1
ak,1
sc,1
Wa,1
XL,1
