cohort,cohort_label,days_to_onset_bucket,n_reports,pct_of_cohort_with_onset,caveat
infant_lt1_death,"Infant <1yr, died (Miller-style slice)",0,374,14.18,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_death,"Infant <1yr, died (Miller-style slice)",1,756,28.66,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_death,"Infant <1yr, died (Miller-style slice)",2,328,12.43,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_death,"Infant <1yr, died (Miller-style slice)",3,236,8.95,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_death,"Infant <1yr, died (Miller-style slice)",4,133,5.04,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_death,"Infant <1yr, died (Miller-style slice)",5,99,3.75,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_death,"Infant <1yr, died (Miller-style slice)",6,104,3.94,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_death,"Infant <1yr, died (Miller-style slice)",7,51,1.93,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_death,"Infant <1yr, died (Miller-style slice)",8-14,233,8.83,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_death,"Infant <1yr, died (Miller-style slice)",15-30,204,7.73,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_death,"Infant <1yr, died (Miller-style slice)",31-90,95,3.6,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_death,"Infant <1yr, died (Miller-style slice)",91+,25,0.95,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_all,"Infant <1yr, ALL reports (mostly non-fatal)",0,37604,60.3,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_all,"Infant <1yr, ALL reports (mostly non-fatal)",1,11079,17.76,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_all,"Infant <1yr, ALL reports (mostly non-fatal)",2,3373,5.41,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_all,"Infant <1yr, ALL reports (mostly non-fatal)",3,1755,2.81,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_all,"Infant <1yr, ALL reports (mostly non-fatal)",4,1064,1.71,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_all,"Infant <1yr, ALL reports (mostly non-fatal)",5,781,1.25,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_all,"Infant <1yr, ALL reports (mostly non-fatal)",6,649,1.04,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_all,"Infant <1yr, ALL reports (mostly non-fatal)",7,596,0.96,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_all,"Infant <1yr, ALL reports (mostly non-fatal)",8-14,1638,2.63,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_all,"Infant <1yr, ALL reports (mostly non-fatal)",15-30,1306,2.09,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_all,"Infant <1yr, ALL reports (mostly non-fatal)",31-90,1343,2.15,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
infant_lt1_all,"Infant <1yr, ALL reports (mostly non-fatal)",91+,1177,1.89,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
adult_18_65_death,"Adult 18-64, died (control)",0,516,11.07,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
adult_18_65_death,"Adult 18-64, died (control)",1,519,11.13,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
adult_18_65_death,"Adult 18-64, died (control)",2,253,5.43,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
adult_18_65_death,"Adult 18-64, died (control)",3,151,3.24,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
adult_18_65_death,"Adult 18-64, died (control)",4,124,2.66,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
adult_18_65_death,"Adult 18-64, died (control)",5,115,2.47,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
adult_18_65_death,"Adult 18-64, died (control)",6,74,1.59,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
adult_18_65_death,"Adult 18-64, died (control)",7,93,1.99,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
adult_18_65_death,"Adult 18-64, died (control)",8-14,424,9.09,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
adult_18_65_death,"Adult 18-64, died (control)",15-30,424,9.09,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
adult_18_65_death,"Adult 18-64, died (control)",31-90,432,9.27,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
adult_18_65_death,"Adult 18-64, died (control)",91+,1537,32.97,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
all_reports,All VAERS reports 1990-2026 (baseline),0,777928,47.22,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
all_reports,All VAERS reports 1990-2026 (baseline),1,314781,19.11,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
all_reports,All VAERS reports 1990-2026 (baseline),2,92657,5.62,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
all_reports,All VAERS reports 1990-2026 (baseline),3,43444,2.64,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
all_reports,All VAERS reports 1990-2026 (baseline),4,26093,1.58,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
all_reports,All VAERS reports 1990-2026 (baseline),5,20841,1.27,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
all_reports,All VAERS reports 1990-2026 (baseline),6,18371,1.12,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
all_reports,All VAERS reports 1990-2026 (baseline),7,30657,1.86,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
all_reports,All VAERS reports 1990-2026 (baseline),8-14,88632,5.38,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
all_reports,All VAERS reports 1990-2026 (baseline),15-30,62751,3.81,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
all_reports,All VAERS reports 1990-2026 (baseline),31-90,56414,3.42,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
all_reports,All VAERS reports 1990-2026 (baseline),91+,114935,6.98,passive surveillance - reports unverified - a report is not causation - reporting rates are not incidence rates - days-to-onset reflects reporting behavior not a hazard window
