cohort,bucket,bin_width_days,pct_in_bin,pct_per_day,caveat
infant_lt1_death,0,1,14.177,14.1774,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_death,1,1,28.658,28.6581,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_death,2,1,12.434,12.4337,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_death,3,1,8.946,8.9462,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_death,4,1,5.042,5.0417,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_death,5,1,3.753,3.7528,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_death,6,1,3.942,3.9424,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_death,7,1,1.933,1.9333,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_death,8-14,7,8.832,1.2618,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_death,15-30,16,7.733,0.4833,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_death,31-90,60,3.601,0.06,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_death,91+,274,0.948,0.0035,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_all,0,1,60.297,60.2966,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_all,1,1,17.765,17.7648,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_all,2,1,5.408,5.4085,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_all,3,1,2.814,2.8141,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_all,4,1,1.706,1.7061,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_all,5,1,1.252,1.2523,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_all,6,1,1.041,1.0406,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_all,7,1,0.956,0.9557,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_all,8-14,7,2.626,0.3752,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_all,15-30,16,2.094,0.1309,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
infant_lt1_all,31-90,60,2.153,0.0359,passive surveillance - reports unverified - a report is not causation - no vaccinated denominator - vaccine schedule (2/4/6mo) is confounded with the background SIDS age peak (2-4mo)
