country,year,suid,sids,unknown,assb,births,rate_per100k,caveat
# SUID = ICD-10 R95+R99+W75, under-1, per 100k live births. Source: WHO Mortality Database (gathered 2026-06-16). state=ok rows only (ICD-10 era, denominator present). compare composite, never SIDS-label; rate is not cause; US-Nordic gap is sleep/certification/classification, not vaccine schedule.
DNK,1994,29,26,3,0,69666,41.63,who_mdb_composite
DNK,1995,23,23,0,0,69771,32.96,who_mdb_composite
DNK,1996,26,25,0,1,67638,38.44,who_mdb_composite
DNK,1997,26,21,4,1,67636,38.44,who_mdb_composite
DNK,1998,20,18,2,0,66170,30.23,who_mdb_composite
DNK,1999,27,19,5,3,66232,40.77,who_mdb_composite
DNK,2000,18,16,0,2,67084,26.83,who_mdb_composite
DNK,2001,33,25,8,0,65458,50.41,who_mdb_composite
DNK,2002,14,10,3,1,64075,21.85,who_mdb_composite
DNK,2003,19,13,6,0,64599,29.41,who_mdb_composite
DNK,2004,11,6,5,0,64609,17.03,who_mdb_composite
DNK,2005,15,11,4,0,64282,23.33,who_mdb_composite
DNK,2006,12,10,1,1,64984,18.47,who_mdb_composite
DNK,2007,43,6,36,1,64082,67.1,who_mdb_composite_DK_R99_shift
DNK,2008,67,4,63,0,65038,103.02,who_mdb_composite_DK_R99_shift
DNK,2009,82,7,75,0,62818,130.54,who_mdb_composite_DK_R99_shift
DNK,2010,87,7,78,2,63411,137.2,who_mdb_composite_DK_R99_shift
DNK,2011,42,1,40,1,58998,71.19,who_mdb_composite_DK_R99_shift
DNK,2012,31,5,26,0,57916,53.53,who_mdb_composite_DK_R99_shift
DNK,2013,30,4,25,1,55873,53.69,who_mdb_composite_DK_R99_shift
DNK,2014,47,4,43,0,56870,82.64,who_mdb_composite_DK_R99_shift
DNK,2015,45,9,36,0,58205,77.31,who_mdb_composite_DK_R99_shift
DNK,2016,27,4,23,0,62667,43.08,who_mdb_composite_DK_R99_shift
DNK,2017,27,6,21,0,62196,43.41,who_mdb_composite_DK_R99_shift
DNK,2018,26,4,21,1,62019,41.92,who_mdb_composite_DK_R99_shift
DNK,2019,32,1,31,0,61685,51.88,who_mdb_composite_DK_R99_shift
DNK,2020,46,3,42,1,61240,75.11,who_mdb_composite_DK_R99_shift
DNK,2021,33,1,32,0,63865,51.67,who_mdb_composite_DK_R99_shift
FIN,1996,18,15,2,1,60723,29.64,who_mdb_composite
FIN,1997,24,20,3,1,59329,40.45,who_mdb_composite
FIN,1998,21,19,0,2,57108,36.77,who_mdb_composite
FIN,1999,16,11,4,1,57574,27.79,who_mdb_composite
FIN,2000,18,18,0,0,56742,31.72,who_mdb_composite
FIN,2001,14,13,1,0,56189,24.92,who_mdb_composite
FIN,2002,16,13,2,1,55555,28.8,who_mdb_composite
FIN,2003,21,16,4,1,56630,37.08,who_mdb_composite
FIN,2004,17,11,5,1,57758,29.43,who_mdb_composite
FIN,2005,20,19,1,0,57745,34.64,who_mdb_composite
FIN,2006,14,11,3,0,58840,23.79,who_mdb_composite
FIN,2007,13,9,4,0,58729,22.14,who_mdb_composite
FIN,2008,13,12,0,1,59530,21.84,who_mdb_composite
FIN,2009,16,15,0,1,60430,26.48,who_mdb_composite
FIN,2010,18,17,1,0,60980,29.52,who_mdb_composite
FIN,2011,10,10,0,0,59961,16.68,who_mdb_composite
FIN,2012,18,12,5,1,59493,30.26,who_mdb_composite
FIN,2013,12,11,0,1,58134,20.64,who_mdb_composite
FIN,2014,16,14,2,0,57232,27.96,who_mdb_composite
FIN,2016,8,8,0,0,52814,15.15,who_mdb_composite
FIN,2017,8,5,2,1,50321,15.9,who_mdb_composite
FIN,2018,7,6,1,0,47577,14.71,who_mdb_composite
FIN,2019,14,12,1,1,45613,30.69,who_mdb_composite
FIN,2020,5,3,2,0,46463,10.76,who_mdb_composite
FIN,2021,8,8,0,0,49594,16.13,who_mdb_composite
FIN,2022,8,5,3,0,44951,17.8,who_mdb_composite
FIN,2024,9,8,1,0,43720,20.59,who_mdb_composite
ISL,1997,5,5,0,0,4151,120.45,who_mdb_composite_small_counts
ISL,1998,1,1,0,0,4178,23.93,who_mdb_composite_small_counts
ISL,1999,1,1,0,0,4100,24.39,who_mdb_composite_small_counts
ISL,2000,1,0,1,0,4315,23.17,who_mdb_composite_small_counts
ISL,2001,1,1,0,0,4091,24.44,who_mdb_composite_small_counts
ISL,2002,2,2,0,0,4049,49.39,who_mdb_composite_small_counts
ISL,2003,1,1,0,0,4143,24.14,who_mdb_composite_small_counts
ISL,2004,3,3,0,0,4234,70.85,who_mdb_composite_small_counts
ISL,2005,2,2,0,0,4280,46.73,who_mdb_composite_small_counts
ISL,2006,2,2,0,0,4415,45.3,who_mdb_composite_small_counts
ISL,2007,1,1,0,0,4560,21.93,who_mdb_composite_small_counts
ISL,2008,2,2,0,0,4835,41.37,who_mdb_composite_small_counts
ISL,2009,3,1,2,0,5027,59.68,who_mdb_composite_small_counts
ISL,2010,3,3,0,0,4907,61.14,who_mdb_composite_small_counts
ISL,2012,1,1,0,0,4533,22.06,who_mdb_composite_small_counts
ISL,2013,1,1,0,0,4326,23.12,who_mdb_composite_small_counts
ISL,2014,3,2,1,0,4375,68.57,who_mdb_composite_small_counts
ISL,2015,1,1,0,0,4129,24.22,who_mdb_composite_small_counts
ISL,2016,2,2,0,0,4034,49.58,who_mdb_composite_small_counts
ISL,2020,1,1,0,0,4505,22.2,who_mdb_composite_small_counts
ISL,2021,1,1,0,0,4869,20.54,who_mdb_composite_small_counts
ISL,2022,1,0,1,0,4382,22.82,who_mdb_composite_small_counts
ISL,2023,2,2,0,0,4315,46.35,who_mdb_composite_small_counts
NOR,1996,37,35,1,1,60927,60.73,who_mdb_composite
NOR,1997,28,27,1,0,59801,46.82,who_mdb_composite
NOR,1998,31,29,2,0,58352,53.13,who_mdb_composite
NOR,1999,31,14,17,0,59298,52.28,who_mdb_composite
NOR,2000,28,24,4,0,59234,47.27,who_mdb_composite
NOR,2001,23,20,3,0,56696,40.57,who_mdb_composite
NOR,2002,21,17,4,0,55434,37.88,who_mdb_composite
NOR,2003,14,11,3,0,56458,24.8,who_mdb_composite
NOR,2004,16,14,2,0,56951,28.09,who_mdb_composite
NOR,2005,20,20,0,0,56756,35.24,who_mdb_composite
NOR,2006,14,12,1,1,58545,23.91,who_mdb_composite
NOR,2007,18,18,0,0,58459,30.79,who_mdb_composite
NOR,2008,14,12,1,1,60497,23.14,who_mdb_composite
NOR,2009,15,13,2,0,61807,24.27,who_mdb_composite
NOR,2010,14,13,1,0,61442,22.79,who_mdb_composite
NOR,2011,14,13,1,0,60220,23.25,who_mdb_composite
NOR,2012,17,14,2,1,60255,28.21,who_mdb_composite
NOR,2013,8,5,3,0,58995,13.56,who_mdb_composite
NOR,2014,18,11,6,1,59084,30.47,who_mdb_composite
NOR,2015,12,8,4,0,59058,20.32,who_mdb_composite
NOR,2016,10,9,1,0,58890,16.98,who_mdb_composite
SWE,1997,41,33,8,0,90383,45.36,who_mdb_composite
SWE,1998,35,31,4,0,89028,39.31,who_mdb_composite
SWE,1999,36,29,7,0,88173,40.83,who_mdb_composite
SWE,2000,42,25,17,0,90441,46.44,who_mdb_composite
SWE,2001,33,28,5,0,91466,36.08,who_mdb_composite
SWE,2002,32,20,12,0,95815,33.4,who_mdb_composite
SWE,2003,28,21,7,0,99157,28.24,who_mdb_composite
SWE,2004,43,28,14,1,100928,42.6,who_mdb_composite
