coverage	floor	total	VAERS	CVAR	JADER	PHMPT	TGA	MHRA	VSAFE	query
6	80	9115	5652	80	147	138	590	2508	0	TINNITUS
6	18	1664	165	30	1194	18	146	111	0	THROMBOCYTOPENIA
6	6	3048	507	395	1132	6	858	150	0	MYOCARDITIS
6	6	2759	232	523	457	6	1404	137	0	PERICARDITIS
5	769	40113	15923	2145	0	16298	769	4978	0	PYREXIA
5	441	34796	24436	441	0	948	2643	6328	0	RASH
5	414	9268	5247	465	0	414	796	2346	0	DECREASED APPETITE
5	316	90866	35308	316	0	21467	6347	27428	0	HEADACHE
5	305	21571	10213	523	0	6978	305	3552	0	PAIN
5	286	91241	37413	286	0	24661	4209	24672	0	FATIGUE
5	273	25392	15378	273	0	2626	868	6247	0	PAIN IN EXTREMITY
5	270	28263	23259	522	0	270	1950	2262	0	HERPES ZOSTER
5	237	16889	12361	237	0	330	2275	1686	0	URTICARIA
5	236	39354	13337	267	0	236	16481	9033	0	CHEST PAIN
5	236	4530	1750	236	0	1002	377	1165	0	VOMITING
5	233	121687	72908	233	0	4089	11607	32850	0	ARTHRALGIA
5	233	30678	16223	233	0	4031	2412	7779	0	DIARRHOEA
5	223	80629	54138	223	0	1328	8050	16890	0	DIZZINESS
5	205	21149	15262	205	0	264	1961	3457	0	COUGH
5	196	144230	85155	196	0	16387	4097	38395	0	CHILLS
5	194	73068	22307	194	0	48280	1166	1121	0	INJECTION SITE PAIN
5	191	63710	56926	772	0	191	1198	4623	0	ERYTHEMA
5	176	9079	5271	176	0	1488	622	1522	0	MALAISE
5	167	13213	5532	167	0	3430	1240	2844	0	NAUSEA
5	165	23778	16828	165	0	320	1448	5017	0	PRURITUS
